scene_id,dataset,method,image_count,common_images,sampled_depth_pixels,sampled_pointmap_points,register_mean_cosine,psnr,ssim,lpips,depth_absrel_mean,depth_absrel_median,depth_log_rmse,depth_scale_median,depth_scale_mad,depth_conf_mean,pose_center_rmse_norm,pose_center_median_norm,pose_center_p90_norm,pose_rotation_mean_deg,pose_rotation_median_deg,pose_fov_abs_mean,pointmap_l1_norm,pointmap_rmse_norm,pointmap_median_norm,pointmap_p90_norm,alignment_scale
mipnerf360_treehill,mipnerf360,random_seed000,25,25,25600,25600,0.968526,17.243147,0.38401,0.475255,0.03595839,0.00992513,0.08130632,0.96058023,0.00554675,10.92739401,0.0058987,0.00396652,0.00823066,0.68303238,0.59359597,0.00447194,0.00213839,0.00704112,0.0005974,0.00405582,0.96405664
mipnerf360_treehill,mipnerf360,random_seed001,25,25,25600,25600,0.982349,16.915873,0.371165,0.47769,0.02863758,0.01019258,0.0636036,0.97476226,0.00251204,9.54001651,0.00364156,0.00257927,0.00484681,0.67505977,0.64366676,0.00857839,0.00157774,0.00537504,0.00044255,0.00307626,0.97136993
mipnerf360_treehill,mipnerf360,random_seed002,25,25,25600,25600,0.995449,17.31086,0.401679,0.464968,0.0347692,0.01116521,0.0796267,1.028543,0.00807858,9.13757446,0.00583037,0.00437633,0.00842613,0.74298604,0.62654519,0.00766403,0.00214186,0.00631302,0.00069488,0.00389747,1.02399977
mipnerf360_treehill,mipnerf360,random_seed003,25,25,25600,25600,0.97289,17.488888,0.39512,0.464657,0.02888288,0.00745605,0.07160755,0.90815294,0.00415623,11.58417218,0.00518199,0.00294919,0.00866333,0.60219701,0.47116068,0.00585857,0.00187744,0.00595712,0.00089313,0.00298584,0.91289616
mipnerf360_treehill,mipnerf360,random_seed004,25,25,25600,25600,0.98229,17.73278,0.38658,0.466078,0.03455676,0.01143319,0.07470369,0.9741239,0.00845164,9.28880422,0.00466803,0.00400701,0.00680988,0.59878127,0.57380824,0.00526591,0.00193712,0.00644142,0.00054345,0.00363729,0.9699245
mipnerf360_treehill,mipnerf360,uniform,25,25,25600,25600,0.997604,17.414686,0.390676,0.46686,0.0326484,0.00999091,0.07313152,0.98218679,0.00441462,9.62537548,0.003978,0.00252624,0.00538746,0.52268704,0.53511998,0.00469913,0.0015266,0.00491614,0.0004013,0.00288319,0.9785853
tandt_train,tandt,random_seed000,53,53,54272,54272,0.989091,18.199142,0.703234,0.223335,0.02097038,0.00638915,0.0549657,0.89970332,0.00422102,13.97489436,0.00253731,0.00179119,0.00389733,0.39790743,0.33987807,0.00580596,0.00155694,0.00415983,0.00084311,0.00175979,0.8976779
tandt_train,tandt,random_seed001,53,53,54272,54272,0.995689,17.569967,0.674771,0.246098,0.01939642,0.00612716,0.04927333,1.01320994,0.00347674,13.99114389,0.00169718,0.00125381,0.00282997,0.2685979,0.24804411,0.00478376,0.0009178,0.00354229,0.00032177,0.00109408,1.01144191
tandt_train,tandt,random_seed002,53,53,54272,54272,0.989127,17.989454,0.686448,0.2354,0.02001252,0.00575568,0.05289175,0.95710689,0.0036605,13.88735768,0.00252034,0.0019454,0.00350949,0.2787396,0.20899148,0.0041354,0.00111454,0.00336755,0.00055754,0.00128542,0.95064964
tandt_train,tandt,random_seed003,53,53,54272,54272,0.989131,18.028139,0.692657,0.231441,0.02077519,0.00537277,0.05651274,0.91960907,0.0038625,13.78504167,0.00213276,0.00149891,0.00354065,0.30306016,0.24418209,0.0044714,0.0015218,0.00441387,0.00093558,0.00154933,0.91519425
tandt_train,tandt,random_seed004,53,53,54272,54272,0.99219,18.401129,0.702205,0.223091,0.02449146,0.00651943,0.06888092,0.88011831,0.0037086,13.84852699,0.00357633,0.0020242,0.00330277,0.49508716,0.39884006,0.01112031,0.00221703,0.00562523,0.00150845,0.00269811,0.87656075
tandt_train,tandt,uniform,53,53,54272,54272,0.998667,18.248096,0.724853,0.205834,0.01575151,0.00455522,0.04190598,0.99306208,0.00271642,14.30124706,0.0015752,0.00124877,0.00231847,0.27104112,0.23484286,0.00336751,0.00065954,0.00289929,0.00013773,0.00098396,0.99160989
tandt_truck,tandt,random_seed000,44,44,45056,45056,0.993438,22.640606,0.848183,0.109094,0.01124613,0.00274751,0.03653131,0.89960861,0.00185615,25.04500983,0.00138798,0.00128281,0.00206815,0.17850389,0.16231322,0.00256036,0.00221357,0.00423078,0.00170656,0.00264528,0.89862282
tandt_truck,tandt,random_seed001,44,44,45056,45056,0.99861,22.325542,0.843079,0.111508,0.01092488,0.00229502,0.03558213,0.99237713,0.00218377,27.04284664,0.00150497,0.00093819,0.00211255,0.12193614,0.09057931,0.00223097,0.00092126,0.00339203,0.00018131,0.00187084,0.99192271
tandt_truck,tandt,random_seed002,44,44,45056,45056,0.997533,22.889698,0.855939,0.105652,0.01119298,0.00258445,0.03596164,0.97788844,0.00198817,26.3521846,0.00124175,0.00092268,0.0016772,0.10076896,0.07707869,0.00206581,0.00128378,0.00463232,0.00042379,0.00240834,0.97799034
tandt_truck,tandt,random_seed003,44,44,45056,45056,0.989295,22.758966,0.851935,0.106993,0.01206914,0.00254371,0.03822976,1.00242794,0.00155294,27.53967346,0.00166493,0.00100627,0.00274737,0.131217,0.12069648,0.00216402,0.00109799,0.00417378,0.00029544,0.00196244,1.00423116
tandt_truck,tandt,random_seed004,44,44,45056,45056,0.995101,23.00992,0.852795,0.104746,0.01162194,0.0030759,0.03818975,0.99480125,0.00306362,25.71807306,0.00138777,0.00112048,0.00199943,0.13066296,0.12672231,0.00282955,0.0010379,0.00392123,0.00027649,0.00177487,0.99364956
tandt_truck,tandt,uniform,44,44,45056,45056,0.999316,23.081297,0.864589,0.096415,0.01053482,0.00201837,0.04142729,1.00471348,0.00117666,27.97707692,0.00101653,0.00056564,0.0017112,0.10583669,0.08818699,0.00178383,0.00082685,0.00340056,0.00013122,0.00150784,1.00462899
